date,stock_code,open,high,low,close
2023-07-04,ASII,6825,6825,6700,6775
2023-07-05,ASII,6775,6775,6700,6775
2023-07-06,ASII,6775,6800,6750,6800
2023-07-07,ASII,6775,6825,6750,6825
2023-07-10,ASII,6825,6825,6775,6775
2023-07-11,ASII,6775,6800,6750,6800
2023-07-12,ASII,6775,6825,6750,6775
2023-07-13,ASII,6775,6825,6750,6800
2023-07-14,ASII,6775,6825,6700,6750
2023-07-17,ASII,6750,6775,6675,6675
2023-07-18,ASII,6675,6700,6475,6575
2023-07-20,ASII,6575,6575,6450,6525
2023-07-21,ASII,6500,6525,6375,6450
2023-07-24,ASII,6400,6600,6400,6550
2023-07-25,ASII,6600,6625,6500,6500
2023-07-26,ASII,6575,6625,6500,6600
2023-07-27,ASII,6600,6600,6500,6525
2023-07-28,ASII,6500,6625,6475,6625
2023-07-31,ASII,6750,6950,6725,6850
2023-08-01,ASII,6875,6900,6800,6875
2023-08-02,ASII,6825,6850,6775,6850
2023-08-03,ASII,6800,6900,6775,6825
2023-08-04,ASII,6825,6850,6750,6800
2023-08-07,ASII,6825,6900,6750,6875
2023-08-08,ASII,6850,6900,6825,6850
2023-08-09,ASII,6850,6875,6825,6875
2023-08-10,ASII,6850,6875,6750,6750
2023-08-11,ASII,6750,6775,6650,6750
2023-08-14,ASII,6700,6800,6700,6800
2023-08-15,ASII,6725,6775,6675,6725
2023-08-16,ASII,6675,6750,6650,6750
2023-08-18,ASII,6675,6700,6500,6525
2023-08-21,ASII,6525,6550,6425,6475
2023-08-22,ASII,6450,6600,6450,6550
2023-08-23,ASII,6550,6600,6525,6550
2023-08-24,ASII,6550,6600,6475,6475
2023-08-25,ASII,6475,6500,6400,6450
2023-08-28,ASII,6500,6500,6400,6425
2023-08-29,ASII,6450,6450,6375,6400
2023-08-30,ASII,6450,6525,6400,6450
2023-08-31,ASII,6450,6475,6400,6450
2023-09-01,ASII,6475,6575,6475,6550
2023-09-04,ASII,6575,6600,6525,6600
2023-09-05,ASII,6600,6650,6550,6600
2023-09-06,ASII,6575,6625,6525,6525
2023-09-07,ASII,6475,6500,6350,6400
2023-09-08,ASII,6450,6450,6350,6400
2023-09-11,ASII,6400,6425,6300,6375
2023-09-12,ASII,6375,6375,6300,6300
2023-09-13,ASII,6325,6325,6225,6300
2023-09-14,ASII,6325,6375,6250,6325
2023-09-15,ASII,6250,6325,6200,6300
2023-09-18,ASII,6275,6325,6250,6300
2023-09-19,ASII,6300,6375,6275,6350
2023-09-20,ASII,6350,6400,6300,6300
2023-09-21,ASII,6300,6325,6200,6200
2023-09-22,ASII,6200,6275,6175,6200
